original coordinate,"ETRS89 Geodetic ( Degrees, Minutes, Seconds )","ETRS89 Geodetic ( Degrees, Decimal Minutes )","ETRS89 Geodetic ( Decimal Degrees )","ETRS89 XYZ","National Grid Eastings and Northings","National Grid KM Square"
"544943 100926","50, 47, 23.223701, E, 0, 3, 18.074139, 44.7276","50, 47.387062, E, 0, 3.301236, 44.7276","50.7897843615, 0.0550205943, 44.7276","4040204.1415, 3879.771, 4918828.8692","544943 100926 -0 1","TQ4400"
"545455 187100","51, 33, 50.491769, E, 0, 5, 49.655853, 45.3518","51, 33.841529, E, 0, 5.827598, 45.3518","51.5640254913, 0.0971266259, 45.3518","3973093.7255, 6735.1131, 4972829.2718","545455 187100 -0 1","TQ4587"
"545505 165875","51, 22, 23.862474, E, 0, 5, 20.820341, 45.1908","51, 22.397708, E, 0, 5.347006, 45.1908","51.3732951318, 0.0891167615, 45.1908","3989694.439, 6205.4996, 4959610.1334","545505 165875 -0 1","TQ4565"
"545790 108670","50, 51, 32.993746, E, 0, 4, 12.377864, 44.8089","50, 51.549896, E, 0, 4.206298, 44.8089","50.8591649295, 0.0701049622, 44.8089","4034219.7071, 4936.1221, 4923704.5616","545790 108670 -0 1","TQ4508"
"546090 176075","51, 27, 53.269234, E, 0, 6, 6.179538, 45.2405","51, 27.887821, E, 0, 6.102992, 45.2405","51.4647970094, 0.1017165383, 45.2405","3981734.8521, 7068.7355, 4965958.7652","546090 176075 -0 1","TQ4676"
"546195 257245","52, 11, 38.683257, E, 0, 8, 14.944158, 45.9288","52, 11.644721, E, 0, 8.249069, 45.9288","52.1940786826, 0.1374844883, 45.9288","3917937.7803, 9401.333, 5016105.9833","546195 257245 -0 1","TL4657"
"546335 172640","51, 26, 1.926422, E, 0, 6, 13.754545, 45.2095","51, 26.032107, E, 0, 6.229242, 45.2095","51.4338684504, 0.103820707, 45.2095","3984425.6559, 7219.8397, 4963814.2633","546335 172640 -0 1","TQ4672"
"546400 187300","51, 33, 56.081309, E, 0, 6, 39.000763, 45.3401","51, 33.934688, E, 0, 6.650013, 45.3401","51.5655781413, 0.1108335454, 45.3401","3972956.6783, 7685.3379, 4972936.6476","546400 187300 -0 1","TQ4687"
"546516 252219","52, 8, 55.816679, E, 0, 8, 24.033627, 45.9052","52, 8.930278, E, 0, 8.40056, 45.9052","52.1488379665, 0.1400093409, 45.9052","3921913.4373, 9583.7008, 5013018.6106","546516 252219 -0 1","TL4652"
"546530 144550","51, 10, 53.064228, E, 0, 5, 42.343888, 45.0854","51, 10.884404, E, 0, 5.705731, 45.0854","51.18140673, 0.0950955245, 45.0854","4006349.3541, 6649.4643, 4946255.5276","546530 144550 -0 1","TQ4644"
"546640 168295","51, 23, 41.091336, E, 0, 6, 23.075544, 45.1824","51, 23.684856, E, 0, 6.384592, 45.1824","51.3947475934, 0.1064098734, 45.1824","3987827.5241, 7406.2123, 4961099.6752","546640 168295 -0 1","TQ4668"
"546930 99908","50, 46, 48.490939, E, 0, 4, 58.024325, 44.6999","50, 46.808182, E, 0, 4.967072, 44.6999","50.7801363721, 0.0827845347, 44.6999","4041033.3308, 5838.7424, 4918150.2786","546930 99908 -0 1","TV4699"
"546950 164020","51, 21, 22.51942, E, 0, 6, 32.747756, 45.17","51, 21.375324, E, 0, 6.545796, 45.17","51.3562553945, 0.109096599, 45.17","3991172.8754, 7599.5809, 4958426.4719","546950 164020 -0 1","TQ4664"
"547160 212340","51, 47, 25.332128, E, 0, 7, 56.403593, 45.65","51, 47.422202, E, 0, 7.94006, 45.65","51.7903700355, 0.1323343315, 45.65","3953331.8469, 9130.9074, 4988445.5944","547160 212340 -0 1","TL4712"
"547275 360695","53, 7, 23.221708, E, 0, 11, 57.907363, 45.5501","53, 7.387028, E, 0, 11.965123, 45.5501","53.1231171411, 0.199418712, 45.5501","3835732.5631, 13350.3714, 5078813.8794","547275 360695 -0 1","TF4760"
"547295 120905","50, 58, 7.440994, E, 0, 5, 47.065507, 44.9219","50, 58.124017, E, 0, 5.784425, 44.9219","50.9687336094, 0.0964070853, 44.9219","4024755.821, 6772.1453, 4931389.7986","547295 120905 -0 1","TQ4720"
"547374 179035","51, 29, 27.8202, E, 0, 7, 17.118284, 45.2413","51, 29.46367, E, 0, 7.285305, 45.2413","51.4910611665, 0.1214217457, 45.2413","3979446.0305, 8433.2914, 4967778.6984","547374 179035 -0 1","TQ4779"
"547531 260670","52, 13, 28.177309, E, 0, 9, 30.626298, 45.9179","52, 13.469622, E, 0, 9.510438, 45.9179","52.2244936969, 0.158507305, 45.9179","3915259.5787, 10831.4929, 5018179.8291","547531 260670 -0 1","TL4760"
"547650 187610","51, 34, 4.937005, E, 0, 7, 44.345859, 45.3264","51, 34.082283, E, 0, 7.739098, 45.3264","51.5680380571, 0.1289849608, 45.3264","3972739.6457, 8943.4953, 4973106.763","547650 187610 -0 1","TQ4787"
"547658 141714","51, 9, 20.276997, E, 0, 6, 36.212863, 45.0718","51, 9.33795, E, 0, 6.603548, 45.0718","51.1556324991, 0.1100591285, 45.0718","4008581.1872, 7700.0697, 4944457.5393","547658 141714 -0 1","TQ4741"
"547855 172860","51, 26, 7.623869, E, 0, 7, 32.747305, 45.1873","51, 26.127064, E, 0, 7.545788, 45.1873","51.4354510748, 0.1257631402, 45.1873","3984284.9098, 8745.4432, 4963924.0145","547855 172860 -0 1","TQ4772"
"547928 291110","52, 29, 52.277596, E, 0, 10, 39.770324, 45.9425","52, 29.871293, E, 0, 10.662839, 45.9425","52.4978548877, 0.1777139789, 45.9425","3891168.3845, 12069.2526, 5036755.7166","547928 291110 -0 1","TL4791"
"548178 99131","50, 46, 22.212039, E, 0, 6, 0.580626, 44.6822","50, 46.370201, E, 0, 6.009677, 44.6822","50.7728366774, 0.100161285, 44.6822","4041660.4472, 7065.4125, 4917636.7656","548178 99131 -0 1","TV4899"
"548320 175995","51, 27, 48.595186, E, 0, 8, 1.543011, 45.2051","51, 27.80992, E, 0, 8.025717, 45.2051","51.4634986628, 0.1337619475, 45.2051","3981843.246, 9295.974, 4965868.7437","548320 175995 -0 1","TQ4875"
"548420 247240","52, 6, 12.953235, E, 0, 9, 56.324524, 45.8632","52, 6.215887, E, 0, 9.938742, 45.8632","52.1035981209, 0.1656457011, 45.8632","3925882.2695, 11350.0041, 5009928.1683","548420 247240 -0 1","TL4847"
"548500 162900","51, 20, 44.838374, E, 0, 7, 51.1463, 45.1526","51, 20.747306, E, 0, 7.852438, 45.1526","51.3457884371, 0.1308739721, 45.1526","3992079.152, 9118.6501, 4957699.1669","548500 162900 -0 1","TQ4862"
"548975 182980","51, 31, 33.919486, E, 0, 8, 46.071107, 45.2466","51, 31.565325, E, 0, 8.767852, 45.2466","51.5260887461, 0.1461308631, 45.2466","3976391.7512, 10141.6688, 4970204.264","548975 182980 -0 1","TQ4882"
"549019 215064","51, 48, 51.670399, E, 0, 9, 37.576459, 45.6523","51, 48.861173, E, 0, 9.626274, 45.6523","51.8143528887, 0.1604379052, 45.6523","3951229.8242, 11064.1429, 4990095.694","549019 215064 -0 1","TL4915"
"549155 220894","51, 52, 0.110253, E, 0, 9, 53.712955, 45.7021","51, 52.001838, E, 0, 9.895216, 45.7021","51.8666972924, 0.1649202653, 45.7021","3946649.536, 11360.0738, 4993694.171","549155 220894 -0 1","TL4920"
"549380 173435","51, 26, 24.78454, E, 0, 8, 52.542932, 45.1691","51, 26.413076, E, 0, 8.875716, 45.1691","51.4402179279, 0.1479285922, 45.1691","3983866.5223, 10285.7328, 4964254.5997","549380 173435 -0 1","TQ4973"
"549515 179215","51, 29, 31.620932, E, 0, 9, 8.331039, 45.2095","51, 29.527016, E, 0, 9.138851, 45.2095","51.4921169254, 0.1523141776, 45.2095","3979348.9695, 10578.6621, 4967851.8089","549515 179215 -0 1","TQ4979"
"549688 123341","50, 59, 24.02739, E, 0, 7, 53.277129, 44.9409","50, 59.400457, E, 0, 7.887952, 44.9409","50.9900076084, 0.1314658692, 44.9409","4022912.2025, 9230.6376, 4932879.8907","549688 123341 -0 1","TQ4923"
"549700 358770","53, 6, 18.547732, E, 0, 14, 5.031192, 45.5037","53, 6.309129, E, 0, 14.083853, 45.5037","53.1051521478, 0.2347308866, 45.5037","3837322.6788, 15720.9344, 5077613.8106","549700 358770 -0 1","TF4958"
"550020 264955","52, 15, 44.343785, E, 0, 11, 48.54902, 45.8923","52, 15.739063, E, 0, 11.80915, 45.8923","52.2623177182, 0.1968191721, 45.8923","3911923.9198, 13438.0693, 5020756.882","550020 264955 -0 1","TL5064"
"550115 176210","51, 27, 53.847415, E, 0, 9, 34.823069, 45.1774","51, 27.897457, E, 0, 9.580384, 45.1774","51.4649576152, 0.1596730747, 45.1774","3981711.6482, 11096.3459, 4965969.8479","550115 176210 -0 1","TQ5076"
"550478 242429","52, 3, 35.352169, E, 0, 11, 36.775922, 45.8233","52, 3.589203, E, 0, 11.612932, 45.8233","52.0598200469, 0.1935488673, 45.8233","3929719.0399, 13274.8968, 5006934.6202","550478 242429 -0 1","TL5042"
"550726 138801","51, 7, 43.169348, E, 0, 9, 9.642227, 45.0314","51, 7.719489, E, 0, 9.160704, 45.0314","51.1286581521, 0.1526783965, 45.0314","4010911.1668, 10688.0636, 4942574.7442","550726 138801 -0 1","TQ5038"
"551016 168271","51, 23, 36.185364, E, 0, 10, 9.304703, 45.1284","51, 23.603089, E, 0, 10.155078, 45.1284","51.3933848234, 0.1692513064, 45.1284","3987935.4504, 11780.3659, 4961005.0299","551016 168271 -0 1","TQ5168"
"551130 178100","51, 28, 54.009869, E, 0, 10, 30.292579, 45.1758","51, 28.900164, E, 0, 10.504876, 45.1758","51.481669408, 0.1750812719, 45.1758","3980253.9442, 12162.6776, 4967127.9797","551130 178100 -0 1","TQ5178"
"551389 188476","51, 34, 29.386231, E, 0, 10, 59.751517, 45.2842","51, 34.489771, E, 0, 10.995859, 45.2842","51.5748295085, 0.1832643102, 45.2842","3972137.4293, 12705.1855, 4973576.3748","551389 188476 -0 1","TQ5188"
"551440 224830","51, 54, 5.200593, E, 0, 11, 59.307517, 45.7062","51, 54.086677, E, 0, 11.988459, 45.7062","51.9014446092, 0.1998076437, 45.7062","3943600.1289, 13752.5774, 4996080.5998","551440 224830 -0 1","TL5124"
"551454 157500","51, 17, 47.35434, E, 0, 10, 15.473685, 45.0893","51, 17.789239, E, 0, 10.257895, 45.0893","51.2964873167, 0.1709649125, 45.0893","3996353.6661, 11924.7576, 4954271.2372","551454 157500 -0 1","TQ5157"
"551510 174395","51, 26, 53.802354, E, 0, 10, 44.264838, 45.1439","51, 26.896706, E, 0, 10.737747, 45.1439","51.4482784318, 0.1789624549, 45.1439","3983159.0612, 12441.3744, 4964813.5288","551510 174395 -0 1","TQ5174"
"551600 236300","52, 0, 16.021436, E, 0, 12, 25.870063, 45.7774","52, 0.267024, E, 0, 12.431168, 45.7774","52.0044503988, 0.2071861287, 45.7774","3934572.7005, 14227.7921, 5003144.2713","551600 236300 -0 1","TL5136"
"551957 146480","51, 11, 50.400749, E, 0, 10, 24.594964, 45.0279","51, 11.840012, E, 0, 10.409916, 45.0279","51.1973335413, 0.1734986012, 45.0279","4004955.7711, 12127.5311, 4947366.0186","551957 146480 -0 1","TQ5146"
"552095 182030","51, 31, 0.202356, E, 0, 11, 26.385462, 45.1923","51, 31.003373, E, 0, 11.439758, 45.1923","51.5167228766, 0.1906626283, 45.1923","3977198.3788, 13234.9346, 4969555.8426","552095 182030 -0 1","TQ5282"
"552231 233584","51, 58, 47.556363, E, 0, 12, 54.59912, 45.7554","51, 58.792606, E, 0, 12.909985, 45.7554","51.9798767674, 0.2151664222, 45.7554","3936725.0471, 14783.8991, 5001460.5815","552231 233584 -0 1","TL5233"
"552240 359890","53, 6, 52.179055, E, 0, 16, 23.411573, 45.4393","53, 6.869651, E, 0, 16.390193, 45.4393","53.1144941819, 0.2731698815, 45.4393","3836479.7265, 18291.3761, 5078237.8535","552240 359890 -0 1","TF5259"
"552248 176588","51, 28, 4.025292, E, 0, 11, 25.86462, 45.1469","51, 28.067088, E, 0, 11.431077, 45.1469","51.4677848035, 0.19051795, 45.1469","3981459.0276, 13239.059, 4966165.7788","552248 176588 -0 1","TQ5276"
"552267 155340","51, 16, 36.704681, E, 0, 10, 54.106695, 45.0805","51, 16.611745, E, 0, 10.901778, 45.0805","51.2768624115, 0.1816963041, 45.0805","3998054.9914, 12678.6695, 4952905.7043","552267 155340 -0 1","TQ5255"
"552587 161510","51, 19, 55.976384, E, 0, 11, 20.101138, 45.0972","51, 19.93294, E, 0, 11.335019, 45.0972","51.3322156624, 0.1889169828, 45.0972","3993246.9536, 13166.6749, 4956755.7807","552587 161510 -0 1","TQ5261"
"552603 106774","50, 50, 25.336733, E, 0, 9, 57.762145, 44.7349","50, 50.422279, E, 0, 9.962702, 44.7349","50.8403713146, 0.1660450404, 44.7349","4035827.07, 11695.9914, 4922384.5171","552603 106774 -0 1","TQ5206"
"552940 189310","51, 34, 54.855497, E, 0, 12, 21.565896, 45.2769","51, 34.914258, E, 0, 12.359432, 45.2769","51.5819043047, 0.2059905265, 45.2769","3971515.3829, 14278.5049, 4974065.5339","552940 189310 -0 1","TQ5289"
"553100 156800","51, 17, 23.12754, E, 0, 11, 39.316797, 45.072","51, 17.385459, E, 0, 11.65528, 45.072","51.28975765, 0.1942546658, 45.072","3996932.7319, 13551.1867, 4953803.0301","553100 156800 -0 1","TQ5356"
"553200 159407","51, 18, 47.358522, E, 0, 11, 48.501153, 45.0796","51, 18.789309, E, 0, 11.808353, 45.0796","51.313155145, 0.1968058758, 45.0796","3994900.5738, 13722.18, 4955430.5437","553200 159407 -0 1","TQ5359"
"553321 227014","51, 55, 13.986811, E, 0, 13, 41.149412, 45.7003","51, 55.233114, E, 0, 13.685824, 45.7003","51.920551892, 0.228097059, 45.7003","3941919.5922, 15693.041, 4997392.0921","553321 227014 -0 1","TL5327"
"553472 129725","51, 2, 46.957217, E, 0, 11, 16.946641, 44.9977","51, 2.78262, E, 0, 11.282444, 44.9977","51.0463770048, 0.1880407337, 44.9977","4018026.4056, 13186.9285, 4936824.8942","553472 129725 -0 1","TQ5329"
"553565 164934","51, 21, 45.78276, E, 0, 12, 15.912632, 45.0933","51, 21.763046, E, 0, 12.265211, 45.0933","51.3627174333, 0.2044201754, 45.0933","3990593.1147, 14237.719, 4958875.3413","553565 164934 -0 1","TQ5364"
"553965 187865","51, 34, 7.112648, E, 0, 13, 12.502694, 45.2429","51, 34.118544, E, 0, 13.208378, 45.2429","51.5686424022, 0.2201396373, 45.2429","3972667.6658, 15263.7058, 4973148.4923","553965 187865 -0 1","TQ5387"
"554271 134488","51, 5, 20.259786, E, 0, 12, 5.253298, 45.0012","51, 5.337663, E, 0, 12.087555, 45.0012","51.0889610517, 0.2014592494, 45.0012","4014337.992, 14114.9812, 4939801.9459","554271 134488 -0 1","TQ5434"
"554314 174378","51, 26, 50.530523, E, 0, 13, 9.39152, 45.1052","51, 26.842175, E, 0, 13.156525, 45.1052","51.4473695898, 0.2192754223, 45.1052","3983228.3735, 15244.2005, 4964750.4805","554314 174378 -0 1","TQ5474"
"554350 279440","52, 23, 28.479195, E, 0, 16, 0.663817, 45.8545","52, 23.474653, E, 0, 16.011064, 45.8545","52.391244221, 0.2668510603, 45.8545","3900549.5138, 18166.6662, 5029524.6409","554350 279440 -0 1","TL5479"
"554555 146175","51, 11, 38.028317, E, 0, 12, 37.878565, 45.0014","51, 11.633805, E, 0, 12.631309, 45.0014","51.1938967547, 0.2105218236, 45.0014","4005245.043, 14716.534, 4947126.3919","554555 146175 -0 1","TQ5446"
"554785 190575","51, 35, 33.958705, E, 0, 13, 59.35436, 45.2734","51, 35.565978, E, 0, 13.989239, 45.2734","51.592766307, 0.2331539888, 45.2734","3970561.2378, 16157.513, 4974816.4035","554785 190575 -0 1","TQ5490"
"555417 178156","51, 28, 51.643134, E, 0, 14, 12.463262, 45.1137","51, 28.860719, E, 0, 14.207721, 45.1137","51.4810119817, 0.2367953506, 45.1137","3980295.724, 16450.0928, 4967082.3793","555417 178156 -0 1","TQ5578"
"555595 169330","51, 24, 5.98914, E, 0, 14, 7.727157, 45.0755","51, 24.099819, E, 0, 14.128786, 45.0755","51.40166365, 0.235479766, 45.0755","3987199.3284, 16387.0718, 4961579.6593","555595 169330 -0 1","TQ5569"
"555680 148500","51, 12, 52.136263, E, 0, 13, 39.421729, 44.9923","51, 12.868938, E, 0, 13.657029, 44.9923","51.2144822954, 0.227617147, 44.9923","4003455.5355, 15904.486, 4948561.3039","555680 148500 -0 1","TQ5548"
"555683 223530","51, 53, 18.948864, E, 0, 15, 39.034745, 45.6472","51, 53.315814, E, 0, 15.650579, 45.6472","51.8885969065, 0.2608429847, 45.6472","3944708.0515, 17958.6793, 4995198.394","555683 223530 -0 1","TL5523"
"556130 186870","51, 33, 32.789121, E, 0, 15, 3.281192, 45.2018","51, 33.546485, E, 0, 15.054687, 45.2018","51.5591080891, 0.2509114423, 45.2018","3973489.7773, 17400.94, 4972489.0311","556130 186870 -0 1","TQ5686"
"556130 186860","51, 33, 32.465675, E, 0, 15, 3.265222, 45.2017","51, 33.541095, E, 0, 15.05442, 45.2017","51.5590182431, 0.2509070062, 45.2017","3973497.608, 17400.6667, 4972482.8163","556130 186860 -0 1","TQ5686"
"556230 363215","53, 8, 35.539496, E, 0, 20, 3.652193, 45.3311","53, 8.592325, E, 0, 20.06087, 45.3311","53.1432054155, 0.3343478313, 45.3311","3833901.8225, 22372.8749, 5080154.9779","556230 363215 -0 1","TF5663"
"556784 157738","51, 17, 49.862367, E, 0, 14, 50.839372, 45.0416","51, 17.831039, E, 0, 14.847323, 45.0416","51.2971839907, 0.2474553811, 45.0416","3996273.6688, 17259.6582, 4954319.6648","556784 157738 -0 1","TQ5657"
"557394 174913","51, 27, 4.781946, E, 0, 15, 49.67733, 45.0704","51, 27.079699, E, 0, 15.827956, 45.0704","51.4513283183, 0.2637992585, 45.0704","3982870.8582, 18337.9267, 4965024.9376","557394 174913 -0 1","TQ5774"
"557480 287460","52, 27, 44.626086, E, 0, 18, 59.693157, 45.8034","52, 27.743768, E, 0, 18.994886, 45.8034","52.4623961349, 0.3165814324, 45.8034","3894257.1136, 21517.5018, 5034352.4985","557480 287460 -0 1","TL5787"
"558238 104813","50, 49, 16.459516, E, 0, 14, 42.60621, 44.6721","50, 49.274325, E, 0, 14.710103, 44.6721","50.8212387544, 0.2451683916, 44.6721","4037457.1434, 17276.367, 4921040.1334","558238 104813 -0 1","TQ5804"
"558428 139207","51, 7, 48.828244, E, 0, 15, 46.21428, 44.9807","51, 7.813804, E, 0, 15.770238, 44.9807","51.1302300678, 0.2628373001, 44.9807","4010747.0199, 18398.9348, 4942684.4517","558428 139207 -0 1","TQ5839"
"558545 174842","51, 27, 1.329818, E, 0, 16, 49.143613, 45.0565","51, 27.022164, E, 0, 16.81906, 45.0565","51.4503693938, 0.2803176704, 45.0565","3982948.8338, 19486.5984, 4964958.4404","558545 174842 -0 1","TQ5874"
"558789 146027","51, 11, 29.065998, E, 0, 16, 15.603312, 44.9618","51, 11.484433, E, 0, 16.260055, 44.9618","51.1914072217, 0.27100092, 44.9618","4005443.0792, 18945.3196, 4946952.7845","558789 146027 -0 1","TQ5846"
"558920 178770","51, 29, 8.000806, E, 0, 17, 14.91086, 45.0758","51, 29.133347, E, 0, 17.248514, 45.0758","51.4855557794, 0.2874752389, 45.0758","3979884.0535, 19968.7958, 4967397.1681","558920 178770 -0 1","TQ5878"
"559003 182828","51, 31, 19.169055, E, 0, 17, 25.790147, 45.1152","51, 31.319484, E, 0, 17.429836, 45.1152","51.5219914043, 0.290497263, 45.1152","3976710.3726, 20162.6261, 4969920.5273","559003 182828 -0 1","TQ5982"
"559315 193035","51, 36, 48.98239, E, 0, 17, 58.607679, 45.2598","51, 36.816373, E, 0, 17.976795, 45.2598","51.6136062194, 0.2996132443, 45.2598","3968722.642, 20753.5828, 4976256.5229","559315 193035 -0 1","TQ5993"
"559378 141370","51, 8, 57.843713, E, 0, 16, 38.492326, 44.9737","51, 8.964062, E, 0, 16.641539, 44.9737","51.1494010314, 0.2773589795, 44.9737","4009081.4732, 19407.423, 4944022.614","559378 141370 -0 1","TQ5941"
"560129 168857","51, 23, 46.15018, E, 0, 18, 1.413981, 45.0339","51, 23.76917, E, 0, 18.023566, 45.0339","51.3961528278, 0.3003927726, 45.0339","3987657.3266, 20906.8526, 4961197.1073","560129 168857 -0 1","TQ6068"
"560300 303330","52, 36, 14.855256, E, 0, 21, 56.519243, 45.6666","52, 36.247588, E, 0, 21.941987, 45.6666","52.6041264601, 0.3656997898, 45.6666","3881719.4641, 24776.053, 5043946.2054","560300 303330 -0 1","TF6003"
"560582 174761","51, 26, 56.646417, E, 0, 18, 34.458967, 45.032","51, 26.944107, E, 0, 18.574316, 45.032","51.4490684493, 0.3095719354, 45.032","3983051.5439, 21520.8342, 4964868.2191","560582 174761 -0 1","TQ6074"
"560733 102125","50, 47, 47.037432, E, 0, 16, 45.782633, 44.6234","50, 47.783957, E, 0, 16.763044, 44.6234","50.7963992867, 0.2793840646, 44.6234","4039587.7048, 19697.8798, 4919293.9536","560733 102125 -0 1","TQ6002"
"560739 136362","51, 6, 14.488966, E, 0, 17, 40.453181, 44.9547","51, 6.241483, E, 0, 17.67422, 44.9547","51.1040247127, 0.2945703279, 44.9547","4013005.5898, 20631.9348, 4940854.3589","560739 136362 -0 1","TQ6036"
"560898 157424","51, 17, 35.577478, E, 0, 18, 22.57992, 44.9986","51, 17.592958, E, 0, 18.376332, 44.9986","51.293215966, 0.3062721999, 44.9986","3996598.3203, 21363.8531, 4954043.5819","560898 157424 -0 1","TQ6057"
"560959 99124","50, 46, 9.736465, E, 0, 16, 52.592015, 44.5913","50, 46.162274, E, 0, 16.876534, 44.5913","50.7693712403, 0.2812755597, 44.5913","4041916.4867, 19842.6737, 4917392.89","560959 99124 -0 1","TV6099"
"561240 311050","52, 40, 23.486145, E, 0, 23, 0.000287, 45.5938","52, 40.391436, E, 0, 23.000005, 45.5938","52.6731905958, 0.383333413, 45.5938","3875603.1466, 25929.8392, 5048609.9982","561240 311050 -0 1","TF6111"
"561340 177810","51, 28, 34.486081, E, 0, 19, 18.697133, 45.0388","51, 28.574768, E, 0, 19.311619, 45.0388","51.4762461335, 0.3218603146, 45.0388","3980681.708, 22361.8032, 4966752.0839","561340 177810 -0 1","TQ6177"
"561349 195022","51, 37, 51.161782, E, 0, 19, 47.562401, 45.2607","51, 37.852696, E, 0, 19.792707, 45.2607","51.6308782728, 0.3298784447, 45.2607","3967204.6603, 22841.2943, 4977449.6017","561349 195022 -0 1","TQ6195"
"561394 174108","51, 26, 34.69611, E, 0, 19, 15.420116, 45.0217","51, 26.578268, E, 0, 19.257002, 45.0217","51.4429711416, 0.3209500322, 45.0217","3983577.678, 22314.7807, 4964445.4147","561394 174108 -0 1","TQ6174"
"561621 174435","51, 26, 45.040106, E, 0, 19, 27.705825, 45.0195","51, 26.750668, E, 0, 19.461764, 45.0195","51.4458444738, 0.3243627291, 45.0195","3983326.3536, 22550.6385, 4964644.6611","561621 174435 -0 1","TQ6174"
"561832 258575","52, 12, 5.990369, E, 0, 22, 0.091841, 45.7639","52, 12.099839, E, 0, 22.001531, 45.7639","52.2016639915, 0.3666921781, 45.7639","3917201.8367, 25070.3786, 5016623.1908","561832 258575 -0 1","TL6158"
"562150 133004","51, 4, 24.4433, E, 0, 18, 47.523207, 44.9338","51, 4.407388, E, 0, 18.792053, 44.9338","51.0734564722, 0.3132008907, 44.9338","4015644.7991, 21951.2862, 4938718.2835","562150 133004 -0 1","TQ6233"
"562301 320076","52, 45, 14.200156, E, 0, 24, 12.464299, 45.5154","52, 45.236669, E, 0, 24.207738, 45.5154","52.7539444878, 0.4034623052, 45.5154","3868444.1742, 27241.0501, 5054053.9133","562301 320076 -0 1","TF6220"
"562320 188048","51, 34, 4.603849, E, 0, 20, 26.418883, 45.14","51, 34.076731, E, 0, 20.440315, 45.14","51.5679455135, 0.3406719119, 45.14","3972687.4379, 23621.2682, 4973100.2169","562320 188048 -0 1","TQ6288"
"563626 176337","51, 27, 44.488702, E, 0, 21, 14.646331, 45.0034","51, 27.741478, E, 0, 21.244106, 45.0034","51.4623579727, 0.3540684253, 45.0034","3981877.2102, 24606.9598, 4965789.5179","563626 176337 -0 1","TQ6376"
"563868 104381","50, 48, 56.852852, E, 0, 19, 29.409757, 44.6158","50, 48.947548, E, 0, 19.490163, 44.6158","50.8157924588, 0.3248360436, 44.6158","4037898.8194, 22892.945, 4920657.3099","563868 104381 -0 1","TQ6304"
"564100 167900","51, 23, 11.116885, E, 0, 21, 25.129985, 45.001","51, 23.185281, E, 0, 21.418833, 45.001","51.3864213569, 0.3569805515, 45.001","3988480.7379, 24850.4949, 4960521.4848","564100 167900 -0 1","TQ6467"
"564174 284098","52, 25, 48.824683, E, 0, 24, 48.125957, 45.7196","52, 25.813745, E, 0, 24.802099, 45.7196","52.4302290785, 0.4133683213, 45.7196","3897052.8025, 28116.314, 5032170.7464","564174 284098 -0 1","TL6484"
"564400 262700","52, 14, 16.649115, E, 0, 24, 22.449163, 45.7284","52, 14.277485, E, 0, 24.374153, 45.7284","52.2379580874, 0.4062358785, 45.7284","3913991.7404, 27751.2677, 5019097.3018","564400 262700 -0 1","TL6462"
"564577 174029","51, 26, 28.849451, E, 0, 22, 0.021708, 44.9873","51, 26.480824, E, 0, 22.000362, 44.9873","51.4413470696, 0.3666726966, 44.9873","3983699.8739, 25494.6163, 4964332.7628","564577 174029 -0 1","TQ6474"
"564982 199165","51, 40, 1.361323, E, 0, 23, 3.383777, 45.2648","51, 40.022689, E, 0, 23.056396, 45.2648","51.6670448119, 0.3842732713, 45.2648","3964025.5894, 26586.4595, 4979946.3719","564982 199165 -0 1","TQ6499"
"565137 104606","50, 49, 2.834261, E, 0, 20, 34.567435, 44.6083","50, 49.047238, E, 0, 20.576124, 44.6083","50.8174539615, 0.3429353987, 44.6083","4037748.1134, 24167.6317, 4920774.0835","565137 104606 -0 1","TQ6504"
"565583 167583","51, 22, 59.315957, E, 0, 22, 41.252431, 44.9878","51, 22.988599, E, 0, 22.687541, 44.9878","51.3831433215, 0.3781256752, 44.9878","3988756.2427, 26324.3306, 4960293.8684","565583 167583 -0 1","TQ6567"
"565892 127169","51, 1, 11.865498, E, 0, 21, 50.024009, 44.8418","51, 1.197758, E, 0, 21.833733, 44.8418","51.0199626384, 0.3638955581, 44.8418","4020251.646, 25533.6676, 4934976.7807","565892 127169 -0 1","TQ6527"
"567079 145272","51, 10, 56.148141, E, 0, 23, 21.039109, 44.8795","51, 10.935802, E, 0, 23.350652, 44.8795","51.1822633724, 0.3891775302, 44.8795","4006188.0697, 27212.1676, 4946315.1084","567079 145272 -0 1","TQ6745"
"567500 195000","51, 37, 43.98584, E, 0, 25, 7.167566, 45.1808","51, 37.733097, E, 0, 25.119459, 45.1808","51.6288849556, 0.4186576571, 45.1808","3967338.3295, 28989.6768, 4977311.8724","567500 195000 -0 1","TQ6794"
"567634 178969","51, 29, 5.390386, E, 0, 24, 46.64923, 44.9785","51, 29.08984, E, 0, 24.777487, 44.9785","51.4848306628, 0.4129581196, 44.9785","3979893.8373, 28685.4974, 4967346.8542","567634 178969 -0 1","TQ6778"
"568000 147800","51, 12, 16.938914, E, 0, 24, 12.686516, 44.868","51, 12.282315, E, 0, 24.211442, 44.868","51.2047052539, 0.4035240323, 44.868","4004235.5596, 28201.5885, 4947879.7758","568000 147800 -0 1","TQ6747"
